ada,issueDate,year,month,titlos_apofasis,foreas_name,organization,decisionType,poso_eur,assignment_type,contractor_name,documentUrl,kategoria,size_category
Ω8ΓΤΩΨΙ-Ζ13,22/03/2016 02:00:00,2016,3,ΣΥΝΤΗΡΗΣΗ ΣΧΟΛΕΙΩΝ,ΔΗΜΟΣ ΑΝΔΡΟΥ,"{'uid': '6037', 'label': 'ΔΗΜΟΣ ΑΝΔΡΟΥ', 'active': None, 'latinName': 'andros', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",12793.27,Απλή Πληρωμή / Τακτική,ΜΕΤΑΞΑΣ ΤΡ. ΓΙΩΡΓΟΣ,https://diavgeia.gov.gr/doc/Ω8ΓΤΩΨΙ-Ζ13,Συντήρηση,Γ. €5.000 - €20.000
7ΩΣ5ΩΡ4-5Κ7,27/08/2014 03:00:00,2014,8,ΣΥΝΤΗΡΗΣΗ ΣΧΟΛΕΙΟΥ,ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ,"{'uid': '6088', 'label': 'ΔΗΜΟΣ ΕΛΑΦΟΝΗΣΟΥ', 'active': None, 'latinName': 'dimoselafonisou', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",2794.37,Ανάθεση (μη προσδιορισμένος τύπος),ΦΑΒΒΑΣ ΔΗΜΗΤΡΙΟΣ,https://diavgeia.gov.gr/doc/7ΩΣ5ΩΡ4-5Κ7,Συντήρηση,Β. €1.000 - €5.000
6ΞΟ1Ω91-ΞΕΓ,20/12/2022 02:00:00,2022,12,Συντήρηση σχολείων,ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ,"{'uid': '6066', 'label': 'ΔΗΜΟΣ ΓΛΥΦΑΔΑΣ', 'active': None, 'latinName': 'dhmos_glyfadas', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",39885.56,Απλή Πληρωμή / Τακτική,ΚΑΛΛΙΤΕΧΝΟΣ,https://diavgeia.gov.gr/doc/6ΞΟ1Ω91-ΞΕΓ,Λοιπά,Δ. €20.000 - €50.000
6ΚΛ5Ω6Τ-ΕΚ9,02/11/2016 02:00:00,2016,11,Επισκευή και συντήρηση σχολείων ,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,"{'uid': '6006', 'label': 'ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ', 'active': None, 'latinName': 'agiosbasileios', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",1392.0,Ανάθεση (μη προσδιορισμένος τύπος),ΔΕΛΙΔΑΚΗΣ ΙΩΑΝΝΗΣ,https://diavgeia.gov.gr/doc/6ΚΛ5Ω6Τ-ΕΚ9,Επισκευή,Β. €1.000 - €5.000
7ΙΧ1Ω6Τ-ΤΕ5,02/11/2016 02:00:00,2016,11,Επισκευή και συντήρηση σχολείων ,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,"{'uid': '6006', 'label': 'ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ', 'active': None, 'latinName': 'agiosbasileios', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",1060.0,Ανάθεση (μη προσδιορισμένος τύπος),ΤΟΜΗ Α.Ε.Ε. ΕΜΠΟΡΙΚΗ -ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,https://diavgeia.gov.gr/doc/7ΙΧ1Ω6Τ-ΤΕ5,Επισκευή,Β. €1.000 - €5.000
ΨΚΟ6Ω6Τ-8Ν7,02/11/2016 02:00:00,2016,11,Επισκευή και συντήρηση σχολείων ,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,"{'uid': '6006', 'label': 'ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ', 'active': None, 'latinName': 'agiosbasileios', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",1320.01,Ανάθεση (μη προσδιορισμένος τύπος),ΛΑΔΙΑΝΟΣ ΙΩΑΝΝΗΣ,https://diavgeia.gov.gr/doc/ΨΚΟ6Ω6Τ-8Ν7,Επισκευή,Β. €1.000 - €5.000
ΩΦ67Ω6Τ-ΗΜΤ,07/11/2016 02:00:00,2016,11,Επισκευή και συντήρηση σχολείων ,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,"{'uid': '6006', 'label': 'ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ', 'active': None, 'latinName': 'agiosbasileios', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",1392.0,Ανάθεση (μη προσδιορισμένος τύπος),ΔΕΛΙΔΑΚΗΣ ΙΩΑΝΝΗΣ,https://diavgeia.gov.gr/doc/ΩΦ67Ω6Τ-ΗΜΤ,Επισκευή,Β. €1.000 - €5.000
78ΣΣΩ6Τ-Η2Ο,01/10/2015 03:00:00,2015,10,Επισκευή και συντήρηση σχολείων ,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,"{'uid': '6006', 'label': 'ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ', 'active': None, 'latinName': 'agiosbasileios', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",690.0,Ανάθεση (μη προσδιορισμένος τύπος),ΚΑΦΕΤΖΗΣ ΒΑΣΙΛΕΙΟΣ,https://diavgeia.gov.gr/doc/78ΣΣΩ6Τ-Η2Ο,Επισκευή,Α. Κάτω από €1.000
66ΗΔΩ6Τ-525,11/08/2015 03:00:00,2015,8,Επισκευή και συντήρηση σχολείων ,ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ,"{'uid': '6006', 'label': 'ΔΗΜΟΣ ΑΓΙΟΥ ΒΑΣΙΛΕΙΟΥ', 'active': None, 'latinName': 'agiosbasileios', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",805.0,Ανάθεση (μη προσδιορισμένος τύπος),ΤΟΜΗ Α.Ε.Ε. ΕΜΠΟΡΙΚΗ -ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,https://diavgeia.gov.gr/doc/66ΗΔΩ6Τ-525,Επισκευή,Α. Κάτω από €1.000
Ω9Ι6ΩΨΧ-0ΩΖ,02/12/2015 02:00:00,2015,12,ΔΑΠΑΝΕΣ ΣΥΝΤΗΡΗΣΗΣ ΣΧΟΛΕΙΩΝ(ΧΡΩΜΑΤΙΣΜΟΙ),ΔΗΜΟΣ ΑΣΤΥΠΑΛΑΙΑΣ,"{'uid': '6049', 'label': 'ΔΗΜΟΣ ΑΣΤΥΠΑΛΑΙΑΣ', 'active': None, 'latinName': 'dimosastipaleas', 'category': None, 'inEffect': False}","{'uid': 'Β.2.2', 'label': 'ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ'}",8674.9,Απλή Πληρωμή / Τακτική,ΚΑΡΑΚΩΣΤΑΣ ΔΗΜΗΤΡΙΟΣ,https://diavgeia.gov.gr/doc/Ω9Ι6ΩΨΧ-0ΩΖ,Συντήρηση,Γ. €5.000 - €20.000
